t,alpha,v,r_cmd,i_cmd
5.000000000e+00,4.141201733e-04,-3.165291555e-01,4.989248528e-01,4.573122525e-07
5.020000000e+00,4.131115914e-04,-3.157582547e-01,4.989274713e-01,4.562078049e-07
5.040000000e+00,4.121054658e-04,-3.149892313e-01,4.989300834e-01,4.551048738e-07
5.060000000e+00,4.111017906e-04,-3.142220809e-01,4.989326892e-01,4.540036014e-07
5.080000000e+00,4.101005598e-04,-3.134567989e-01,4.989352886e-01,4.529041142e-07
5.100000000e+00,4.091017676e-04,-3.126933808e-01,4.989378817e-01,4.518065189e-07
5.120000000e+00,4.081054078e-04,-3.119318219e-01,4.989404685e-01,4.507109175e-07
5.140000000e+00,4.071114747e-04,-3.111721177e-01,4.989430489e-01,4.496173855e-07
5.160000000e+00,4.061199623e-04,-3.104142639e-01,4.989456231e-01,4.485259875e-07
5.180000000e+00,4.051308647e-04,-3.096582557e-01,4.989481910e-01,4.474367921e-07
5.200000000e+00,4.041441761e-04,-3.089040888e-01,4.989507527e-01,4.463498460e-07
5.220000000e+00,4.031598905e-04,-3.081517587e-01,4.989533081e-01,4.452652003e-07
5.240000000e+00,4.021780021e-04,-3.074012608e-01,4.989558573e-01,4.441828882e-07
5.260000000e+00,4.011985050e-04,-3.066525908e-01,4.989584003e-01,4.431029432e-07
5.280000000e+00,4.002213936e-04,-3.059057442e-01,4.989609371e-01,4.420254007e-07
5.300000000e+00,3.992466618e-04,-3.051607164e-01,4.989634677e-01,4.409502741e-07
5.320000000e+00,3.982743041e-04,-3.044175032e-01,4.989659922e-01,4.398775943e-07
5.340000000e+00,3.973043144e-04,-3.036761001e-01,4.989685105e-01,4.388073593e-07
5.360000000e+00,3.963366872e-04,-3.029365026e-01,4.989710227e-01,4.377396046e-07
5.380000000e+00,3.953714166e-04,-3.021987064e-01,4.989735287e-01,4.366743256e-07
5.400000000e+00,3.944084969e-04,-3.014627071e-01,4.989760287e-01,4.356115380e-07
5.420000000e+00,3.934479223e-04,-3.007285003e-01,4.989785225e-01,4.345512528e-07
5.440000000e+00,3.924896873e-04,-2.999960817e-01,4.989810103e-01,4.334934656e-07
5.460000000e+00,3.915337860e-04,-2.992654468e-01,4.989834920e-01,4.324381764e-07
5.480000000e+00,3.905802128e-04,-2.985365914e-01,4.989859677e-01,4.313854007e-07
5.500000000e+00,3.896289619e-04,-2.978095111e-01,4.989884374e-01,4.303351386e-07
5.520000000e+00,3.886800279e-04,-2.970842016e-01,4.989909010e-01,4.292873945e-07
5.540000000e+00,3.877334049e-04,-2.963606586e-01,4.989933587e-01,4.282421573e-07
5.560000000e+00,3.867890875e-04,-2.956388777e-01,4.989958103e-01,4.271994336e-07
5.580000000e+00,3.858470699e-04,-2.949188548e-01,4.989982560e-01,4.261592101e-07
5.600000000e+00,3.849073465e-04,-2.942005854e-01,4.990006957e-01,4.251214958e-07
5.620000000e+00,3.839699119e-04,-2.934840654e-01,4.990031295e-01,4.240862850e-07
5.640000000e+00,3.830347603e-04,-2.927692904e-01,4.990055574e-01,4.230535711e-07
5.660000000e+00,3.821018863e-04,-2.920562563e-01,4.990079793e-01,4.220233529e-07
5.680000000e+00,3.811712843e-04,-2.913449587e-01,4.990103954e-01,4.209956306e-07
5.700000000e+00,3.802429488e-04,-2.906353935e-01,4.990128055e-01,4.199704018e-07
5.720000000e+00,3.793168742e-04,-2.899275564e-01,4.990152098e-01,4.189476599e-07
5.740000000e+00,3.783930550e-04,-2.892214433e-01,4.990176083e-01,4.179273949e-07
5.760000000e+00,3.774714858e-04,-2.885170499e-01,4.990200009e-01,4.169096035e-07
5.780000000e+00,3.765521610e-04,-2.878143720e-01,4.990223876e-01,4.158942835e-07
5.800000000e+00,3.756350753e-04,-2.871134055e-01,4.990247686e-01,4.148814325e-07
5.820000000e+00,3.747202231e-04,-2.864141461e-01,4.990271438e-01,4.138710397e-07
5.840000000e+00,3.738075990e-04,-2.857165898e-01,4.990295131e-01,4.128631037e-07
5.860000000e+00,3.728971976e-04,-2.850207324e-01,4.990318767e-01,4.118576213e-07
5.880000000e+00,3.719890134e-04,-2.843265697e-01,4.990342346e-01,4.108545826e-07
5.900000000e+00,3.710830411e-04,-2.836340977e-01,4.990365867e-01,4.098539808e-07
