w,sigma_max_S,sigma_min_S,sigma_max_T,sigma_min_T
8.077336399e+01,1.428588467e+00,9.537981201e-01,7.387459655e-01,1.414862683e-01
8.313798584e+01,1.417960946e+00,9.580377533e-01,7.186271073e-01,1.328983328e-01
8.557183145e+01,1.407979301e+00,9.618480647e-01,6.987208905e-01,1.248122554e-01
8.807692734e+01,1.398582101e+00,9.652493012e-01,6.790277249e-01,1.172006649e-01
9.065535934e+01,1.389707841e+00,9.682640093e-01,6.595501203e-01,1.100372404e-01
9.330927435e+01,1.381295791e+00,9.709165369e-01,6.402924080e-01,1.032967815e-01
9.604088213e+01,1.373286764e+00,9.732325163e-01,6.212604709e-01,9.695524599e-02
9.885245709e+01,1.365623803e+00,9.752383498e-01,6.024614864e-01,9.098976359e-02
1.017463403e+02,1.358252781e+00,9.769607189e-01,5.839036822e-01,8.537863099e-02
1.047249412e+02,1.351122899e+00,9.784261343e-01,5.655961066e-01,8.010129263e-02
1.077907400e+02,1.344187089e+00,9.796605397e-01,5.475484142e-01,7.513831115e-02
1.109462894e+02,1.337402316e+00,9.806889781e-01,5.297706666e-01,7.047133045e-02
1.141942168e+02,1.330729780e+00,9.815353219e-01,5.122731481e-01,6.608303364e-02
1.175372265e+02,1.324135029e+00,9.822220698e-01,4.950661968e-01,6.195709776e-02
1.209781021e+02,1.317587983e+00,9.827702040e-01,4.781600507e-01,5.807814665e-02
1.245197085e+02,1.311062890e+00,9.831991027e-01,4.615647085e-01,5.443170318e-02
1.281649946e+02,1.304538212e+00,9.835265013e-01,4.452898044e-01,5.100414151e-02
1.319169956e+02,1.297996462e+00,9.837684937e-01,4.293444973e-01,4.778264017e-02
1.357788357e+02,1.291423996e+00,9.839395653e-01,4.137373736e-01,4.475513634e-02
1.397537302e+02,1.284810773e+00,9.840526521e-01,3.984763628e-01,4.191028158e-02
1.438449888e+02,1.278150089e+00,9.841192166e-01,3.835686671e-01,3.923739945e-02
1.480560181e+02,1.271438300e+00,9.841493377e-01,3.690207017e-01,3.672644495e-02
1.523903244e+02,1.264674526e+00,9.841518070e-01,3.548380482e-01,3.436796598e-02
1.568515164e+02,1.257860365e+00,9.841342292e-01,3.410254191e-01,3.215306681e-02
1.614433089e+02,1.250999595e+00,9.841031231e-01,3.275866326e-01,3.007337363e-02
1.661695250e+02,1.244097886e+00,9.840640216e-01,3.145245982e-01,2.812100206e-02
1.710341000e+02,1.237162529e+00,9.840215665e-01,3.018413112e-01,2.628852663e-02
1.760410844e+02,1.230202160e+00,9.839796010e-01,2.895378571e-01,2.456895215e-02
1.811946471e+02,1.223226509e+00,9.839412551e-01,2.776144228e-01,2.295568696e-02
1.864990791e+02,1.216246162e+00,9.839090262e-01,2.660703165e-01,2.144251782e-02
1.919587972e+02,1.209272332e+00,9.838848535e-01,2.549039935e-01,2.002358662e-02
1.975783473e+02,1.202316659e+00,9.838701867e-01,2.441130885e-01,1.869336851e-02
2.033624085e+02,1.195391014e+00,9.838660484e-01,2.336944528e-01,1.744665163e-02
2.093157967e+02,1.188507331e+00,9.838730918e-01,2.236441961e-01,1.627851822e-02
2.154434690e+02,1.181677450e+00,9.838916523e-01,2.139577315e-01,1.518432702e-02
2.217505275e+02,1.174912983e+00,9.839217948e-01,2.046298242e-01,1.415969697e-02
2.282422238e+02,1.168225191e+00,9.839633558e-01,1.956546420e-01,1.320049196e-02
2.349239629e+02,1.161624884e+00,9.840159818e-01,1.870258069e-01,1.230280676e-02
2.418013085e+02,1.155122334e+00,9.840791630e-01,1.787364485e-01,1.146295387e-02
2.488799867e+02,1.148727203e+00,9.841522636e-01,1.707792568e-01,1.067745128e-02
2.561658917e+02,1.142448486e+00,9.842345490e-01,1.631465355e-01,9.943011141e-03
2.636650899e+02,1.136294469e+00,9.843252092e-01,1.558302535e-01,9.256529128e-03
2.713838254e+02,1.130272698e+00,9.844233798e-01,1.488220964e-01,8.615074561e-03
2.793285251e+02,1.124389961e+00,9.845281600e-01,1.421135154e-01,8.015881161e-03
2.875058041e+02,1.118652280e+00,9.846386281e-01,1.356957745e-01,7.456338389e-03
2.959224711e+02,1.113064909e+00,9.847538553e-01,1.295599960e-01,6.933983327e-03
3.045855341e+02,1.107632350e+00,9.848729166e-01,1.236972026e-01,6.446493045e-03
3.135022063e+02,1.102358362e+00,9.849949006e-01,1.180983579e-01,5.991677402e-03
3.226799120e+02,1.097245991e+00,9.851189172e-01,1.127544032e-01,5.567472259e-03
3.321262930e+02,1.092297594e+00,9.852441039e-01,1.076562923e-01,5.171933042e-03
3.418492146e+02,1.087514873e+00,9.853696310e-01,1.027950232e-01,4.803228644e-03
3.518567726e+02,1.082898910e+00,9.854947051e-01,9.816166628e-02,4.459635627e-03
