w,sigma_max_S,sigma_min_S,sigma_max_T,sigma_min_T
2.269288563e+01,1.150911657e+00,3.943171325e-01,9.675818807e-01,6.773090071e-01
2.335721469e+01,1.163059911e+00,4.051876542e-01,9.657092055e-01,6.603356743e-01
2.404099184e+01,1.174209137e+00,4.163177822e-01,9.637316632e-01,6.429714997e-01
2.474478640e+01,1.184327855e+00,4.277101544e-01,9.616437816e-01,6.252645735e-01
2.546918439e+01,1.193393689e+00,4.393670882e-01,9.594398515e-01,6.072668378e-01
2.621478897e+01,1.201393762e+00,4.512905426e-01,9.571139227e-01,5.890333782e-01
2.698222095e+01,1.208324848e+00,4.634820781e-01,9.546598008e-01,5.706216333e-01
2.777211932e+01,1.214193308e+00,4.759428132e-01,9.520710447e-01,5.520905499e-01
2.858514180e+01,1.219014795e+00,4.886733790e-01,9.493409655e-01,5.334997118e-01
2.942196532e+01,1.222813757e+00,5.016738704e-01,9.464626263e-01,5.149084712e-01
3.028328666e+01,1.225622741e+00,5.149437951e-01,9.434288441e-01,4.963751114e-01
3.116982298e+01,1.227481568e+00,5.284820197e-01,9.402321930e-01,4.779560661e-01
3.208231245e+01,1.228436365e+00,5.422867128e-01,9.368650093e-01,4.597052163e-01
3.302151485e+01,1.228538540e+00,5.563552865e-01,9.333193988e-01,4.416732826e-01
3.398821218e+01,1.227843704e+00,5.706843347e-01,9.295872471e-01,4.239073228e-01
3.498320936e+01,1.226410594e+00,5.852695697e-01,9.256602317e-01,4.064503419e-01
3.600733485e+01,1.224300023e+00,6.001057570e-01,9.215298378e-01,3.893410157e-01
3.706144138e+01,1.221573886e+00,6.151866485e-01,9.171873775e-01,3.726135223e-01
3.814640664e+01,1.218294244e+00,6.305049148e-01,9.126240119e-01,3.562974768e-01
3.926313402e+01,1.214522506e+00,6.460520773e-01,9.078307783e-01,3.404179572e-01
4.041255333e+01,1.210318708e+00,6.618184399e-01,9.027986205e-01,3.249956104e-01
4.159562163e+01,1.205740904e+00,6.777930221e-01,8.975184250e-01,3.100468239e-01
4.281332399e+01,1.200844672e+00,6.939634941e-01,8.919810608e-01,2.955839520e-01
4.406667430e+01,1.195682717e+00,7.103161141e-01,8.861774254e-01,2.816155810e-01
4.535671616e+01,1.190304586e+00,7.268356700e-01,8.800984963e-01,2.681468232e-01
4.668452371e+01,1.184756459e+00,7.435054261e-01,8.737353873e-01,2.551796277e-01
4.805120251e+01,1.179081038e+00,7.603070762e-01,8.670794114e-01,2.427130990e-01
4.945789053e+01,1.173317498e+00,7.772207049e-01,8.601221500e-01,2.307438145e-01
5.090575902e+01,1.167501503e+00,7.942247578e-01,8.528555268e-01,2.192661354e-01
5.239601353e+01,1.161665269e+00,8.112960237e-01,8.452718889e-01,2.082725056e-01
5.392989490e+01,1.155837674e+00,8.284096288e-01,8.373640925e-01,1.977537339e-01
5.550868030e+01,1.150044398e+00,8.455390454e-01,8.291255948e-01,1.876992580e-01
5.713368428e+01,1.144308085e+00,8.626561161e-01,8.205505497e-01,1.780973875e-01
5.880625989e+01,1.138648529e+00,8.797310958e-01,8.116339086e-01,1.689355269e-01
6.052779976e+01,1.133082871e+00,8.967327096e-01,8.023715237e-01,1.602003753e-01
6.229973732e+01,1.127625808e+00,9.136282295e-01,7.927602536e-01,1.518781066e-01
6.412354796e+01,1.122289809e+00,9.303835643e-01,7.827980700e-01,1.439545286e-01
6.600075023e+01,1.117085352e+00,9.469633597e-01,7.724841636e-01,1.364152232e-01
6.793290717e+01,1.112021174e+00,9.633310925e-01,7.618190480e-01,1.292456678e-01
6.992162757e+01,1.107104592e+00,9.794491299e-01,7.508046587e-01,1.224313409e-01
7.196856730e+01,1.102341939e+00,9.952786757e-01,7.394444473e-01,1.159578117e-01
7.407543073e+01,1.097739339e+00,1.010779401e+00,7.277434658e-01,1.098108163e-01
7.624397210e+01,1.093304458e+00,1.025908112e+00,7.157084418e-01,1.039763210e-01
7.847599704e+01,1.089051759e+00,1.040613922e+00,7.033478395e-01,9.844057472e-02
8.077336399e+01,1.085025376e+00,1.054815815e+00,6.906719066e-01,9.319015115e-02
8.313798584e+01,1.081495909e+00,1.068206289e+00,6.776927035e-01,8.821198265e-02
8.557183145e+01,1.083806468e+00,1.075405755e+00,6.644241132e-01,8.349338613e-02
8.807692734e+01,1.095622347e+00,1.072713305e+00,6.508818306e-01,7.902208242e-02
9.065535934e+01,1.107679505e+00,1.069358649e+00,6.370833286e-01,7.478620982e-02
9.330927435e+01,1.119243810e+00,1.066043296e+00,6.230478019e-01,7.077433283e-02
9.604088213e+01,1.130213625e+00,1.062838358e+00,6.087960861e-01,6.697544653e-02
