# worst in-envelope corner for the MIMO controller: I_tot0=2.0 r0=0.3 dV0=-0.4 share={'dV0': -0.4, 'Td': 0.002, 'taur': 0.0003, 'tauf': 0.0008} drive={'K_v': 2.0, 'pole_factor': 0.5, 'tau_v': 0.005, 'Td_v': 0.004}
w_rad_s,dec_sigma_So,mimo_sigma_So
5.64290847e+03,1.00047719e+00,1.00039766e+00
5.82815458e+03,1.00041455e+00,1.00036910e+00
6.01948197e+03,1.00035910e+00,1.00034242e+00
6.21709029e+03,1.00031023e+00,1.00031753e+00
6.42118571e+03,1.00026735e+00,1.00029429e+00
6.63198120e+03,1.00022986e+00,1.00027261e+00
6.84969672e+03,1.00019719e+00,1.00025239e+00
7.07455942e+03,1.00016882e+00,1.00023354e+00
7.30680395e+03,1.00014427e+00,1.00021596e+00
7.54667263e+03,1.00012306e+00,1.00019958e+00
7.79441575e+03,1.00010481e+00,1.00018432e+00
8.05029181e+03,1.00008913e+00,1.00017011e+00
8.31456781e+03,1.00007569e+00,1.00015687e+00
8.58751948e+03,1.00006419e+00,1.00014456e+00
8.86943166e+03,1.00005438e+00,1.00013311e+00
9.16059848e+03,1.00004601e+00,1.00012246e+00
9.46132376e+03,1.00003890e+00,1.00011257e+00
9.77192128e+03,1.00003286e+00,1.00010339e+00
1.00927151e+04,1.00002773e+00,1.00009488e+00
1.04240401e+04,1.00002339e+00,1.00008699e+00
1.07662418e+04,1.00001972e+00,1.00007968e+00
1.11196773e+04,1.00001661e+00,1.00007293e+00
1.14847155e+04,1.00001399e+00,1.00006669e+00
1.18617372e+04,1.00001177e+00,1.00006094e+00
1.22511358e+04,1.00000991e+00,1.00005563e+00
1.26533176e+04,1.00000834e+00,1.00005075e+00
1.30687023e+04,1.00000701e+00,1.00004627e+00
1.34977233e+04,1.00000590e+00,1.00004215e+00
1.39408283e+04,1.00000496e+00,1.00003838e+00
1.43984795e+04,1.00000417e+00,1.00003492e+00
1.48711546e+04,1.00000351e+00,1.00003176e+00
1.53593468e+04,1.00000296e+00,1.00002887e+00
1.58635653e+04,1.00000249e+00,1.00002624e+00
1.63843365e+04,1.00000210e+00,1.00002384e+00
1.69222035e+04,1.00000177e+00,1.00002165e+00
1.74777277e+04,1.00000149e+00,1.00001967e+00
1.80514888e+04,1.00000126e+00,1.00001786e+00
1.86440853e+04,1.00000106e+00,1.00001622e+00
1.92561357e+04,1.00000089e+00,1.00001473e+00
1.98882786e+04,1.00000076e+00,1.00001339e+00
2.05411735e+04,1.00000064e+00,1.00001216e+00
2.12155017e+04,1.00000054e+00,1.00001105e+00
2.19119669e+04,1.00000046e+00,1.00001005e+00
2.26312957e+04,1.00000039e+00,1.00000914e+00
2.33742387e+04,1.00000033e+00,1.00000832e+00
2.41415712e+04,1.00000028e+00,1.00000757e+00
2.49340937e+04,1.00000024e+00,1.00000690e+00
2.57526333e+04,1.00000020e+00,1.00000629e+00
2.65980440e+04,1.00000017e+00,1.00000573e+00
2.74712079e+04,1.00000015e+00,1.00000523e+00
